LeadId,FirstName,LastName,Company,Country,Region,Source,Status,Score,Rating,IsConverted,ConvertedAccountId,Product_Interest,CreatedDate,LastActivityDate,SalesRep
LED00001,Siti,López,Ministry of Defense Germany,Germany,Europe,DSEI London,Converted,27,Cold,True,ACC0007,Spare Parts Package,2023-09-24,2024-11-22,Antoine Morel
LED00002,Ahmed,Horvat,Ministry of Defense France,France,Europe,Air Show Le Bourget,Converted,48,Warm,True,ACC0019,Upgrade EW Suite,2018-11-18,2023-07-27,Antoine Morel
LED00003,Siti,Nikolaou,Air Force Spain,Spain,Europe,DSEI London,Converted,6,Cold,True,ACC0007,Offset Industrial Package,2023-11-19,2024-04-17,Sophie Leclerc
LED00004,Yiannis,Singh,Ministry of Defense UAE,UAE,Middle East,LinkedIn,Disqualified,98,Hot,False,,Rafale F4,2020-08-03,2024-06-22,Sophie Leclerc
LED00005,Siti,Hassan,Ministry of Defense Indonesia,Indonesia,Asia,Partner Network,New,46,Warm,False,,Training Program,2024-04-14,2024-09-15,Sophie Leclerc
LED00006,Ante,Horvat,Ministry of Defense Indonesia,Indonesia,Asia,Partner Network,Nurturing,29,Cold,False,,Spare Parts Package,2019-05-29,2023-03-09,Antoine Morel
LED00007,Amit,Al-Farsi,Air Force Germany,Germany,Europe,Aero India Bangalore,Converted,33,Cold,True,ACC0014,Upgrade EW Suite,2021-10-31,2022-08-30,Antoine Morel
LED00008,Hamad,Al-Farsi,Air Force UAE,UAE,Middle East,Partner Network,Disqualified,23,Cold,False,,Upgrade EW Suite,2018-03-05,2023-06-11,Jean-Pierre Martin
LED00009,Ahmed,Papadopoulos,Ministry of Defense India,India,Asia,Aero India Bangalore,New,55,Warm,False,,Upgrade EW Suite,2019-11-15,2022-01-17,Isabelle Bernard
LED00010,Klaus,Al-Farsi,Air Force France,France,Europe,LinkedIn,Converted,51,Warm,True,ACC0027,MRO Contract Rafale,2020-09-15,2024-01-09,Antoine Morel
LED00011,Yiannis,Al-Rashid,Ministry of Defense India,India,Asia,DSEI London,Converted,9,Cold,True,ACC0024,Spare Parts Package,2021-12-24,2023-08-08,Isabelle Bernard
LED00012,Ahmed,Papadopoulos,Ministry of Defense France,France,Europe,Aero India Bangalore,Converted,92,Hot,True,ACC0019,Offset Industrial Package,2023-09-18,2024-03-25,Isabelle Bernard
LED00013,Mohammed,Horvat,Air Force Qatar,Qatar,Middle East,Embassy Referral,Working,56,Warm,False,,MRO Contract Rafale,2021-02-18,2021-05-27,Antoine Morel
LED00014,Nikos,Sharma,Ministry of Defense Greece,Greece,Europe,Embassy Referral,Working,41,Warm,False,,Falcon 6X,2020-01-01,2022-05-31,Antoine Morel
LED00015,Klaus,Al-Thani,Air Force Germany,Germany,Europe,Euronaval,Working,78,Hot,False,,Falcon 10X,2021-11-23,2024-08-15,Isabelle Bernard
LED00016,Hans,Al-Farsi,Ministry of Defense France,France,Europe,Dubai Airshow,Disqualified,36,Cold,False,,Falcon 10X,2020-11-28,2021-09-12,Jean-Pierre Martin
LED00017,Hans,Sharma,Ministry of Defense Spain,Spain,Europe,Dubai Airshow,Converted,65,Warm,True,ACC0018,Upgrade EW Suite,2018-04-23,2020-06-30,Jean-Pierre Martin
LED00018,Fatima,Nikolaou,Ministry of Defense India,India,Asia,Partner Network,Working,47,Warm,False,,Training Program,2024-05-28,2024-08-11,Jean-Pierre Martin
LED00019,Nikos,García,Ministry of Defense Croatia,Croatia,Europe,DSEI London,Nurturing,55,Warm,False,,Rafale F4,2018-12-22,2022-12-09,Jean-Pierre Martin
LED00020,Carlos,Nikolaou,Ministry of Defense Egypt,Egypt,Africa,Dubai Airshow,Working,41,Warm,False,,Upgrade EW Suite,2021-10-05,2022-03-05,Marc Dupont
LED00021,Amit,Santoso,Ministry of Defense Indonesia,Indonesia,Asia,Air Show Le Bourget,Disqualified,12,Cold,False,,Rafale F3-R,2023-11-06,2024-09-25,Jean-Pierre Martin
